Name,Txn Name,Money Raised,Announced Date,Location,Industries,Description,Funding Type
Frontier Aerospace,Seed Round - Frontier Aerospace,"$5,500,019","Jun 24, 2021","Simi Valley, California, United States, North America","Aerospace, Geospatial, Space Travel","Frontier Aerospace focuses on conceptualizing, designing, and proving-out innovative in-space.",Seed
ATLAS Space Operations,Convertible Note - ATLAS Space Operations,"$5,500,000","Mar 1, 2020","Traverse City, Michigan, United States, North America","Aerospace, Enterprise Software, Telecommunications","ATLAS Space Operations is the Satellite Communications as a Service Getting Your Data, Faster",Convertible Note
Sitemark,Series A - Sitemark,"€5,000,000","Sep 23, 2019","Leuven, Vlaams-Brabant, Belgium, Europe","Aerospace, Drones, Renewable Energy, Software",Fast and accurate solar site visibility,Series A
Labrys Technologies,Seed Round - Labrys Technologies,"£4,300,000","Aug 28, 2023","London, England, United Kingdom, Europe","Artificial Intelligence (AI), Cryptocurrency, Information Technology, National Security, SaaS","SaaS, Mobile App, Payments; Global Network Management System",Seed
Vyoma GmbH,Seed Round - Vyoma GmbH,"€5,000,000","Apr 3, 2024","Munich, Bayern, Germany, Europe","Aerospace, Satellite Communication, Space Travel","Vyoma helps in increasing confidence in space with real-time debris observations and AI, for safe and automated satellite operations.",Seed
Castelion,Pre Seed Round - Castelion,"$5,414,995","Apr 21, 2023","El Segundo, California, United States, North America","Aerospace, Government, Manufacturing, Military, National Security",Castelion is a defense tech company that applies modern hardware development and manufacturing processes to national security challenges.,Pre-Seed
Sidereus Space Dynamics,Seed Round - Sidereus Space Dynamics,"€5,100,000","Sep 25, 2023","Napoli, Campania, Italy, Europe","Aerospace, Air Transportation",Sidereus Space Dynamics develops space vehicles.,Seed
VULCAN ELEMENTS,Seed Round - VULCAN ELEMENTS,"$5,201,998","Dec 26, 2023","Cambridge, Massachusetts, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing","VULCAN ELEMENTS is changing the way to electrify aerospace, defense, and auto with decarbonization.",Seed
MightyFly,Seed Round - MightyFly,"$5,100,000","Apr 21, 2021","San Francisco, California, United States, North America","Aerospace, Autonomous Vehicles, Delivery Service, Drones, Freight Service, GreenTech, Logistics, Robotics, Transportation",Remaking the future of logistics,Seed
Voyager Space,Venture Round - Voyager Space,"$5,058,010","Sep 6, 2019","Denver, Colorado, United States, North America","Aerospace, Infrastructure, Space Travel",Voyager Space is an aviation and aerospace company that specializes in the space exploration industry.,Venture - Series Unknown
American Robotics,Series A - American Robotics,"$5,025,000","Jan 25, 2019","Waltham, Massachusetts, United States, North America","AgTech, Computer Vision, Industrial Automation, Machine Learning, Military, Mining, Oil and Gas, Railroad, Robotics, Security","American Robotics is a Robot-as-a-Service company that develops FAA-approved pilotless, AI-powered drones for industrial purposes.",Series A
UTVATE,Seed Round - UTVATE,"$5,015,000","Mar 31, 2020","San Francisco, California, United States, North America","Aerospace, Internet, Telecommunications",UTVATE unlocks satellite internet capacity through user terminal innovation.,Seed
Auriga Space,Pre Seed Round - Auriga Space,"$5,000,000","Aug 3, 2023","Los Angeles, California, United States, North America","Aerospace, Government, Hardware, National Security, Space Travel","Next-generation space launch company providing efficient, clean and flexible transport to space",Pre-Seed
INTERSTELLAR LAB,Seed Round - INTERSTELLAR LAB,"$5,000,000","Mar 7, 2022","Dover, Delaware, United States, North America","Aerospace, AgTech, Biotechnology, Farming, Natural Resources","Interstellar Lab designs, manufactures and operates biofarming platform to unleash the power of plants. On Earth and in Space.",Seed
Fenix24,Seed Round - Fenix24,"$5,000,000","Mar 17, 2023","Chattanooga, Tennessee, United States, North America","Information Technology, National Security, Risk Management",Fenix24 is a part of the Conversant Group family of companies that focuses on post-incident disaster recovery and restoration.,Seed
Slingshot Aerospace,Seed Round - Slingshot Aerospace,"$5,000,000","Apr 17, 2019","Austin, Texas, United States, North America","Aerospace, Analytics, Simulation, Software","Slingshot Aerospace builds space data, analytics, and simulation solutions.",Seed
Hydrosat,Seed Round - Hydrosat,"$5,000,000","Nov 16, 2021","Washington, District of Columbia, United States, North America","Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Hydrosat provides geospatial intelligence for food security, critical infrastructure, and the environment.",Seed
Hydrosat,Seed Round - Hydrosat,"$5,000,000","Jun 17, 2021","Washington, District of Columbia, United States, North America","Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Hydrosat provides geospatial intelligence for food security, critical infrastructure, and the environment.",Seed
Phantom Space,Seed Round - Phantom Space,"$5,000,000","Apr 14, 2021","Tucson, Arizona, United States, North America","Aerospace, Space Travel, Transportation","Phantom Space focuses on space transportation technology including satellites, propulsion, and launch vehicles.",Seed
Cumberland Additive,Venture Round - Cumberland Additive,"$5,000,000","Aug 25, 2021","Pflugerville, Texas, United States, North America","Aerospace, Industrial Manufacturing, Manufacturing, Plastics and Rubber Manufacturing",Cumberland Additive manufactures complex 3D printed metal and plastic parts for both production and prototype applications.,Venture - Series Unknown
Wilder Systems,Series A - Wilder Systems,"$5,000,000","May 26, 2022","Austin, Texas, United States, North America","Aerospace, Air Transportation, Robotics",Wilder Systems is a robotics and automation company that specializes in the aerospace industry.,Series A
Accrete AI,Venture Round - Accrete AI,"$5,000,000","Jun 9, 2022","New York, New York, United States, North America","Artificial Intelligence (AI), Government, Military, Software","Dual Use AI for defense, Intelligence and cybersecurity.",Venture - Series Unknown
Dark,Seed Round - Dark,"$5,000,000","Dec 16, 2021","Paris, Ile-de-France, France, Europe",Aerospace,Dark is a developer of tactical space platforms for collision avoidance and satellite neutralization.,Seed
Clarke Valve,Series D - Clarke Valve,"$5,000,000","Jul 26, 2022","North Kingstown, Rhode Island, United States, North America","Aerospace, Electronics, Energy, Industrial, Manufacturing",Clarke Valve is a developer of energy-saving shutter valves designed to work in a variety of industrial and aerospace applications.,Series D
Paradigm Parachute & Defense,Seed Round - Paradigm Parachute & Defense,"$5,000,000","Jul 6, 2022","Pensacola, Florida, United States, North America","Aerospace, Air Transportation, Manufacturing","Paradigm Parachute & Defense provides precision manufactured, military-style parachute systems, and associated defense products.",Seed
Atomos Space,Seed Round - Atomos Space,"$5,000,000","Jan 12, 2022","Denver, Colorado, United States, North America","Aerospace, Logistics, Nuclear, Robotics, Space Travel",Atomos Space is an aerospace company building and developing orbital transfer vehicles.,Seed
Accrete AI,Venture Round - Accrete AI,"$5,000,000","Oct 23, 2020","New York, New York, United States, North America","Artificial Intelligence (AI), Government, Military, Software","Dual Use AI for defense, Intelligence and cybersecurity.",Venture - Series Unknown
Pixxel,Seed Round - Pixxel,"$5,000,000","Aug 19, 2020","El Segundo, California, United States, North America","Aerospace, Geospatial, Information Technology, Satellite Communication",Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,Seed
Steelhead Composites,Venture Round - Steelhead Composites,"$4,999,998","Jun 21, 2022","Golden, Colorado, United States, North America","Aerospace, Automotive, Clean Energy, CleanTech, Manufacturing",Steelhead Composites is a provider of hydrogen storage solutions used to allow widespread zero-emission fuel cell electrification.,Venture - Series Unknown
SatVu,Seed Round - SatVu,"£3,600,000","Apr 22, 2021","London, England, United Kingdom, Europe","Aerospace, Analytics, Geospatial",SatVu - An Earth Observation and satellite imagery analytics company deriving insights into economic activity,Seed
Optics11,Venture Round - Optics11,"€5,000,000","Oct 6, 2022","Amsterdam, Noord-Holland, The Netherlands, Europe","Energy, Military, Sensor, Test and Measurement",Maritime Defense and Energy Solutions,Venture - Series Unknown
Avion,Venture Round - Avion,"$4,729,998","Aug 8, 2023","San Francisco, California, United States, North America","Aerospace, Drones, Medical",Avion is an autonomous aerial network that delivers medicals and vaccine supplies via drones.,Venture - Series Unknown
Elroy Air,Seed Round - Elroy Air,"$4,700,000","Feb 13, 2019","San Francisco, California, United States, North America","Aerospace, Air Transportation, Logistics, Robotics","Elroy Air is a logistics company that specializes in the fields of logistics, robotics, and air transportation.",Seed
Nemo Arms,Venture Round - Nemo Arms,"$4,600,000","Aug 30, 2023","Nampa, Idaho, United States, North America","Law Enforcement, Machinery Manufacturing, Manufacturing, Military, Wholesale",Nemo Arms is a defense company that manufactures and designs weapons and gears.,Venture - Series Unknown
GPMS,Venture Round - GPMS,"$4,579,606","Dec 27, 2023","Burlington, Vermont, United States, North America","Aerospace, Apps, Software",GPMS develops condition monitoring systems for industrial and aviation applications.,Venture - Series Unknown
Novo Space,Venture Round - Novo Space,"$4,500,000","Jan 8, 2024","El Segundo, California, United States, North America",Aerospace,High-performance radiation-tolerant computers for new space applications,Venture - Series Unknown
VeriTX,Series A - VeriTX,"$4,500,000","Apr 14, 2022","East Aurora, New York, United States, North America","Aerospace, Blockchain, Cyber Security, Data Governance, Software","VeriTX is a flexible digital supply chain solution for aerospace, medical, and industrial verticals.",Series A
Lowden Street Capital,Private Equity Round - Lowden Street Capital,"$4,500,000","Jan 1, 2020","Homewood, Alabama, United States, North America","Aerospace, Financial Services, Real Estate, Staffing Agency",Rural Private Equity Buyouts,Private Equity
Usercentrics,Series A - Usercentrics,"€4,000,000","Jul 8, 2019","Munich, Bayern, Germany, Europe","Cyber Security, Digital Marketing, Identity Management, Law Enforcement, Legal, Legal Tech, Marketing Automation, Privacy, SaaS, Software","Usercentrics is a compliance technology SaaS provider, redefining the way to secure compliant data via consent management.",Series A
Radical,Seed Round - Radical,"$4,465,000","Jan 5, 2024","Seattle, Washington, United States, North America","Aerospace, Internet, Telecommunications",Radical builds high-altitude solar aircraft to provide direct-to-handset LTE or 5G internet.,Seed
Operational Solutions,Venture Round - Operational Solutions,"£3,500,000","Nov 30, 2023","London, England, United Kingdom, Europe","Aerospace, Manufacturing, Security","Operational Solutions is a company that provides tailored Subject Matter Expertise to the Defence, Security and Aerospace industry.",Venture - Series Unknown
Hinfact,Venture Round - Hinfact,"€4,000,000","Apr 12, 2023","Toulouse, Midi-Pyrenees, France, Europe","Aerospace, Computer Vision, Human Computer Interaction, Neuroscience, Software",Hinfact provides solutions to improve safety from pilot training to full-scale operations in the aviation industry.,Venture - Series Unknown
ATMOS Space Cargo,Seed Round - ATMOS Space Cargo,"€4,000,000","Jun 22, 2023","Baden-baden, Baden-Wurttemberg, Germany, Europe","Aerospace, Manufacturing, Space Travel","ATMOS Space Cargo develops and manufactures space capsules to return cargo from space, microgravity experiments to entire rocket stages.",Seed
ClearSpace,Seed Round - ClearSpace,"CHF4,000,000","Jun 30, 2021","Renens, Vaud, Switzerland, Europe","Aerospace, Satellite Communication, Space Travel",On-orbit services to enable a thriving New Space economy.,Seed
DBT Aero,Pre Seed Round - DBT Aero,"$4,311,559","Jun 7, 2019","Riverton, Utah, United States, North America","Aerospace, Commercial, Energy Efficiency, Manufacturing","Making sustainable, technologically advanced flight affordable, safe & quiet",Pre-Seed
Texray AB,Venture Round - Texray AB,"SEK45,000,000","Nov 21, 2023","Göteborg, Vastra Gotaland, Sweden, Europe","Aerospace, Health Care, Medical, Textiles",Texray AB radiation protection textile to address the need for durable and comfortable personal protection equipment (PPE),Venture - Series Unknown
9T Labs,Seed Round - 9T Labs,"$4,300,000","Jan 29, 2020","Zürich, Zurich, Switzerland, Europe","Aerospace, Automotive, Industrial, Industrial Engineering, Mechanical Engineering",Making industry grade carbon fiber composites more accessible to series production through additive manufacturing.,Seed
Street Smarts VR,Venture Round - Street Smarts VR,"$4,300,000","Jun 7, 2022","New York, New York, United States, North America","Law Enforcement, Legal, Virtual Reality",Street Smarts VR is a veteran-owned virtual reality (VR) training platform.,Venture - Series Unknown
Verijet,Series A - Verijet,"$4,277,628","Jan 4, 2021","Opa Locka, Florida, United States, North America","Aerospace, Artificial Intelligence (AI), Software",Verijet is a technology company using novel AI and supercomputing to grow the private aviation industry.,Series A
Archangel Lightworks,Seed Round - Archangel Lightworks,"€4,000,000","Feb 15, 2023","London, England, United Kingdom, Europe","Aerospace, Laser, Optical Communication, Satellite Communication",Archangel Lightworks builds deployable laser communication systems for the space-enabled networks of the future.,Seed
Leaf Space,Series A - Leaf Space,"€3,500,000","Jan 13, 2021","Milan, Lombardia, Italy, Europe","Aerospace, Satellite Communication, Space Travel",Leaf Space wants to simplify the access to Space for microsatellites’ operators.,Series A
Spintech,Series A - Spintech,"$4,250,000","Mar 12, 2019","Miamisburg, Ohio, United States, North America","Aerospace, Manufacturing",Spintech provides game-changing shape memory polymer technologies for composite manufacturing.,Series A
Drone Express,Seed Round - Drone Express,"$4,201,500","Jan 1, 2023","Dayton, Ohio, United States, North America","Aerospace, Delivery Service, Drones",Drone Express is a full-service logistics company that uses airborne autonomous drones for local package delivery.,Seed
Proteus Space,Seed Round - Proteus Space,"$4,200,000","Jul 12, 2023","Los Angeles, California, United States, North America","Aerospace, Government, Industrial Manufacturing, Manufacturing, National Security, Space Travel",The future of rapid satellite design and manufacturing.,Seed
Bounce Imaging,Series A - Bounce Imaging,"$4,200,000","May 2, 2022","Boston, Massachusetts, United States, North America","Consumer Electronics, Hardware, Law Enforcement, Robotics, Sensor",Throwable omnidirectional/360 cameras for first responders,Series A
Urban Sky,Seed Round - Urban Sky,"$4,100,000","Aug 19, 2021","Denver, Colorado, United States, North America","Aerospace, Geospatial, Mapping Services, Remote Sensing, Smart Cities",Urban Sky offers a revolution in remote sensing through the new stratospheric microballon.,Seed
Steelhead Composites,Seed Round - Steelhead Composites,"$4,093,368","Aug 14, 2020","Golden, Colorado, United States, North America","Aerospace, Automotive, Clean Energy, CleanTech, Manufacturing",Steelhead Composites is a provider of hydrogen storage solutions used to allow widespread zero-emission fuel cell electrification.,Seed
Kurs Orbital,Seed Round - Kurs Orbital,"€3,700,000","Mar 7, 2024","Turin, Piemonte, Italy, Europe",Aerospace,"Kurs Orbital enables satellite life extension and space debris removal missions, securing safe and sustainable orbits for generations.",Seed
IDR Law,Venture Round - IDR Law,"£3,250,000","Jun 5, 2023","Harrogate, North Yorkshire, United Kingdom, Europe","Law Enforcement, Service Industry","IDR Law is a nationally recognised boutique law firm that focuses only on resolving legal issues that relate to trusts, wills, and probate.",Venture - Series Unknown
Amini,Seed Round - Amini,"$4,000,000","Nov 30, 2023","New York, New York, United States, North America","Aerospace, Artificial Intelligence (AI), Geospatial, Machine Learning, Software",Amini is a climate tech business that uses artificial intelligence and satellite technology to bridge Africa's environmental data.,Seed
Darkhive,Seed Round - Darkhive,"$4,000,000","Nov 30, 2023","San Antonio, Texas, United States, North America","Military, Public Safety, Robotics",Autonomy for Everyone,Seed
Exosonic,Seed Round - Exosonic,"$4,000,000","May 5, 2022","Los Angeles, California, United States, North America","Aerospace, Air Transportation",Developing supersonic UAVs as a steppingstone towards quiet supersonic passenger flight,Seed
Cognitive Space,Seed Round - Cognitive Space,"$4,000,000","Oct 16, 2023","Houston, Texas, United States, North America","Aerospace, Artificial Intelligence (AI), Satellite Communication",Cognitive Space develops a generation machine intelligence platform for satellite constellation management.,Seed
Cognitive Space,Seed Round - Cognitive Space,"$4,000,000","Nov 18, 2021","Houston, Texas, United States, North America","Aerospace, Artificial Intelligence (AI), Satellite Communication",Cognitive Space develops a generation machine intelligence platform for satellite constellation management.,Seed
Social Links,Series A - Social Links,"$4,000,000","Jul 21, 2022","New York, New York, United States, North America","Big Data, Business Intelligence, Data Mining, Data Visualization, Information Technology, Law Enforcement, National Security, Security, Software","A US-based company, offering a powerful range of OSINT solutions for digital investigations, threat intelligence, cybersecurity, and more.",Series A
TransAstra,Seed Round - TransAstra,"$4,000,000","Sep 10, 2021","Los Angeles, California, United States, North America","Aerospace, Industrial, Software, Space Travel","TransAstra develops a technology to find, prospect, harvest and use space resources.",Seed
Primordial Labs,Seed Round - Primordial Labs,"$4,000,000","Oct 7, 2022","New Haven, Connecticut, United States, North America","Aerospace, Artificial Intelligence (AI), Autonomous Vehicles, GovTech, Machine Learning, National Security",Primordial Labs is an autonomy company with a human-machine interface obsession. We are focused on the mission of national security.,Seed
Miraex,Seed Round - Miraex,"$4,000,000","May 1, 2022","Ecublens, Vaud, Switzerland, Europe","Aerospace, AgTech, Industrial Automation, Information Technology, Nuclear, Railroad, Sensor, Software, Wind Energy","Miraex develops photonic and quantum solutions for next-gen sensing, networking, and computing.",Seed
Airspace Link,Seed Round - Airspace Link,"$4,000,000","Dec 10, 2019","Detroit, Michigan, United States, North America","Aerospace, Drone Management, Geospatial, Government, Mapping Services",Airspace Link is an FAA approved UAS/Drone Low Altitude Authorization and Notification Capability (LAANC) Platform,Seed
CYBERA,Seed Round - CYBERA,"$4,000,000","Jun 15, 2022","New York, New York, United States, North America","Banking, Business Intelligence, Cryptocurrency, Cyber Security, Law Enforcement",We close gaps that allow cyber criminals to thrive by sharing actionable information in real-time.,Seed
Kambr,Seed Round - Kambr,"$4,000,000","Sep 16, 2019","Amsterdam, Noord-Holland, The Netherlands, Europe","Aerospace, B2B, Consulting, Media and Entertainment, Software, Travel","Raising airline revenue performance through Software, Consultancy and Content.",Seed
Flyby Robotics,Pre Seed Round - Flyby Robotics,"$4,000,000","Jul 5, 2022","Los Angeles, California, United States, North America","Aerospace, Machinery Manufacturing",Flyby Robotics is a developer of American-made autonomous drones built for on-edge ML capabilities.,Pre-Seed
Nooks,Seed Round - Nooks,"$4,000,000","Feb 27, 2023","Santa Ynez, California, United States, North America","Aerospace, Information Technology",Nooks provides Classified-Spaces-as-a-Service (CSaaS) to both commercial and government customers.,Seed
Violet Labs,Seed Round - Violet Labs,"$4,000,000","Jun 30, 2022","San Francisco, California, United States, North America","Aerospace, Autonomous Vehicles, Medical Device, Robotics",Software that powers hardware.,Seed
Benchmark Space Systems,Convertible Note - Benchmark Space Systems,"$4,000,000","Jun 3, 2022","South Burlington, Vermont, United States, North America","Aerospace, Hardware, Manufacturing",Benchmark Space Systems is an aerospace company that offers propulsion solutions for small satellite applications.,Convertible Note
Oxford Space Systems,Venture Round - Oxford Space Systems,"$4,000,000","May 17, 2024","Harwell, Oxfordshire, United Kingdom, Europe","Aerospace, Hardware",OSS Is a space technology business that provides multi-award winning deployable antennas & structures made from proprietary materials.,Venture - Series Unknown
Smartabase,Venture Round - Smartabase,"A$5,500,000","Oct 13, 2020","Boulder, Colorado, United States, North America","Analytics, Electronic Health Record (EHR), Military, Performing Arts, Software, Sports, Wellness",Smartabase is a human performance optimization platform for elite sports teams and military organizations.,Venture - Series Unknown
Verge Aero,Seed Round - Verge Aero,"$3,900,000","Sep 1, 2022","Philadelphia, Pennsylvania, United States, North America","Aerospace, Software","A Philadelphia-based team of electrical, computer, software, systems, and aerospace engineers.",Seed
Rizse,Seed Round - Rizse,"$3,837,500","Mar 1, 2021","Austin, Texas, United States, North America","Aerospace, Artificial Intelligence (AI), Drones, Machine Learning, Robotics",Rizse helps MROs and airlines facilitate inspections by performing visual inspections.,Seed
Oxford Space Systems,Venture Round - Oxford Space Systems,"£3,000,000","Jan 8, 2024","Harwell, Oxfordshire, United Kingdom, Europe","Aerospace, Hardware",OSS Is a space technology business that provides multi-award winning deployable antennas & structures made from proprietary materials.,Venture - Series Unknown
Wingly,Venture Round - Wingly,"€3,500,000","May 13, 2024","Paris, Ile-de-France, France, Europe","Aerospace, Internet, Leisure, Travel",Wingly is a flight sharing platform where private pilots offer their flights and passengers can fly with them.,Venture - Series Unknown
Sonfarrel Aerospace,Venture Round - Sonfarrel Aerospace,"$3,750,000","Oct 2, 2019","Anaheim, California, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing",Son-Aero is a manufacturer of aerospace and defense parts and helps with aerospace or defense projects.,Venture - Series Unknown
Monarc Holdings,Seed Round - Monarc Holdings,"$3,700,000","Jan 31, 2023","Rochester, New York, United States, North America","Advanced Materials, Information Technology, National Security, Public Safety","Monarc Holdings focuses on the growth of innovative ideas and technologies that protect people, places, and things.",Seed
Kayhan Space,Seed Round - Kayhan Space,"$3,700,000","Dec 14, 2021","Boulder, Colorado, United States, North America",Aerospace,Kayhan Space ensures satellite operators maintain situational awareness of their space assets,Seed
Pangea Aerospace,Seed Round - Pangea Aerospace,"€3,000,000","May 19, 2021","Barcelona, Catalonia, Spain, Europe",Aerospace,Pangea Aerospace has been created by gathering international engineers together under a common objective.,Seed
Hybrid Air Vehicles,Venture Round - Hybrid Air Vehicles,"$3,580,140","Nov 18, 2022","Bedford, Bedfordshire, United Kingdom, Europe","Aerospace, Air Transportation, Information Technology, Manufacturing","Hybrid Air Vehicles manufactures hybrid air vehicles used to provide sustainable, versatile, and efficient air vehicles.",Venture - Series Unknown
Phase Four,Venture Round - Phase Four,"$3,565,499","Jan 15, 2020","El Segundo, California, United States, North America","Aerospace, Innovation Management, Space Travel",Phase Four is a provider of electric propulsion (EP) for small satellites.,Venture - Series Unknown
Hidden Level,Seed Round - Hidden Level,"$3,560,000","Nov 19, 2019","Syracuse, New York, United States, North America","Aerospace, Software, Wired Telecommunications","Hidden Level is an aviation and aerospace company that specializes in radar sensors, engineering contracting, and digital signal processing.",Seed
Skyroads,Seed Round - Skyroads,"€2,900,000","Dec 9, 2020","Munich, Bayern, Germany, Europe","Aerospace, Drones, Technical Support",Our Skyroads System enables Advanced Air Mobility to scale safely and efficiently.,Seed
ThinkOrbital,Pre Seed Round - ThinkOrbital,"$3,500,000","Mar 1, 2023","Denver, Colorado, United States, North America","Aerospace, Manufacturing, Robotics, Space Travel",Construction technologies for space applications,Pre-Seed
Odys Aviation,Pre Seed Round - Odys Aviation,"$3,500,000","Jul 29, 2021","Long Beach, California, United States, North America","Aerospace, Air Transportation, Commercial",Odys Aviation is an aircraft startup making hybrid-electric vertical takeoff and landing (VTOL) aircraft for regional mobility.,Pre-Seed
Nemo Arms,Venture Round - Nemo Arms,"$3,500,000","Mar 22, 2023","Nampa, Idaho, United States, North America","Law Enforcement, Machinery Manufacturing, Manufacturing, Military, Wholesale",Nemo Arms is a defense company that manufactures and designs weapons and gears.,Venture - Series Unknown
First Resonance,Seed Round - First Resonance,"$3,500,000","Dec 4, 2020","Los Angeles, California, United States, North America","Aerospace, Industrial Automation, Manufacturing, Operating Systems, Software","First Resonance develops ION Factory OS, a robust manufacturing production software that provides data insights and improves scalability.",Seed
Basalt Tech,Seed Round - Basalt Tech,"$3,500,000","May 30, 2024","San Francisco, California, United States, North America","Aerospace, Industrial Automation, Space Travel",Basalt Tech is a spacecraft software company that helps to produce optimized instructions for fleets of spacecraft.,Seed
Zulu Pods,Seed Round - Zulu Pods,"$3,500,000","Mar 7, 2024","Fort Lauderdale, Florida, United States, North America","Aerospace, Air Transportation, Military",Zulu Pods is an aerospace Technology start-up that develops lubrication systems for jet engines.,Seed
NXT Communications,Venture Round - NXT Communications,"$3,477,572","Feb 9, 2023","Ball Ground, Georgia, United States, North America","Communication Hardware, National Security, Product Design",NXT Communications develops flat panel antennas for broadband on the move.,Venture - Series Unknown
Unmanned Defense Systems,Seed Round - Unmanned Defense Systems,"€3,200,000","May 24, 2024","Vilnius, Vilniaus Apskritis, Lithuania, Europe","Aerospace, Military","Unmanned Defense Systems researches, develops, designs, and manufactures tactical military UAV systems.",Seed
Alba Orbital,Seed Round - Alba Orbital,"$3,400,000","May 14, 2021","Glasgow, Glasgow City, United Kingdom, Europe","Aerospace, Satellite Communication, Space Travel",Alba Orbital is a pico-satellite company that builds and designs small commercial satellite platforms.,Seed
Wingly,Series A - Wingly,"€3,000,000","Jun 16, 2020","Paris, Ile-de-France, France, Europe","Aerospace, Internet, Leisure, Travel",Wingly is a flight sharing platform where private pilots offer their flights and passengers can fly with them.,Series A
Vibrant Corporation,Series A - Vibrant Corporation,"$3,350,000","Jul 18, 2023","Albuquerque, New Mexico, United States, North America","Aerospace, Developer APIs, Developer Tools",Vibrant Corporation develops process compensated resonance testing technology for the aerospace and power generation industries.,Series A
Agile Space Industries,Seed Round - Agile Space Industries,"$3,340,000","Apr 7, 2020","Durango, Colorado, United States, North America","3D Printing, Aerospace, Air Transportation, Space Travel","Agile Space Industries is an aviation and aerospace that specializes in propulsion, test rockets, and space exploration.",Seed
Comand AI,Seed Round - Comand AI,"€3,000,000","Jul 11, 2023","Paris, Ile-de-France, France, Europe","Artificial Intelligence (AI), Government, Military, National Security, Software",Comand AI empowers defense forces with unparalleled decision-making and operating capabilities.,Seed
Orbit Fab,Seed Round - Orbit Fab,"$3,300,000","Oct 4, 2019","Lafayette, Colorado, United States, North America","Aerospace, Energy, Infrastructure, Manufacturing, Space Travel",Orbit Fab is a supplier of tankers and other infrastructure needed for in-space refueling of satellites.,Seed
SingleFile Technologies,Seed Round - SingleFile Technologies,"$3,300,000","Aug 12, 2019","Seattle, Washington, United States, North America","Information Technology, Law Enforcement, Software","SingleFile Technologies is a companies and law firms fill out reports, manage filings, maintain internal records and remain in good standing",Seed
Picterra,Seed Round - Picterra,"$3,300,000","Sep 17, 2019","Ecublens, Vaud, Switzerland, Europe","Aerospace, Artificial Intelligence (AI), Computer Vision, Drones, Geospatial, Information Technology, Machine Learning, SaaS, Software",Geospatial ML SaaS platform for Earth Observation imagery,Seed
YellowDog,Series A - YellowDog,"£2,500,000","Mar 27, 2019","Bristol, Bristol, City of, United Kingdom, Europe","Aerospace, Animation, Cloud Computing, Cloud Management, Enterprise Software, Financial Services, Life Science, SaaS, Scheduling, Software",Helping businesses power their innovations with the most scalable cloud native scheduling and provisioning technology.,Series A
WingWork,Seed Round - WingWork,"$3,250,000","Dec 12, 2023","Bellevue, Washington, United States, North America","Aerospace, Enterprise Software, SaaS",WingWork SaaS platform streamlines fleet management and maintenance tracking for private aviation.,Seed
SingleFile Technologies,Seed Round - SingleFile Technologies,"$3,200,000","Jan 4, 2023","Seattle, Washington, United States, North America","Information Technology, Law Enforcement, Software","SingleFile Technologies is a companies and law firms fill out reports, manage filings, maintain internal records and remain in good standing",Seed
Venus Aerospace,Seed Round - Venus Aerospace,"$3,173,499","Jan 21, 2021","Houston, Texas, United States, North America","Aerospace, Product Research, Transportation",Venus Aerospace is a space company that provides an innovative approach to hypersonic transportation.,Seed
Boom Supersonic,Venture Round - Boom Supersonic,"$3,131,868","Apr 17, 2020","Centennial, Colorado, United States, North America","Aerospace, Air Transportation, Manufacturing","Boom Supersonic is a commercial airplane manufacturer that builds supersonic airliners designed for speed, safety, and sustainability.",Venture - Series Unknown
Skyports,Series B - Skyports,"$3,130,000","Aug 2, 2022","London, England, United Kingdom, Europe","Aerospace, Drone Management, Transportation, Travel",Skyports provides urban air mobility infrastructure and manages end-to-end drone delivery services.,Series B
Osprey Flight Solutions,Seed Round - Osprey Flight Solutions,"£2,200,000","Apr 27, 2021","Basingstoke, Hampshire, United Kingdom, Europe","Aerospace, Security",Osprey Flight Solutions that brings a step change in aviation security expertise.,Seed
Payload Aerospace,Venture Round - Payload Aerospace,"€2,673,000","Feb 11, 2022","Elche, Comunidad Valenciana, Spain, Europe",Aerospace,Payload Aerospace is a company that are into technology development in aerospace sector.,Venture - Series Unknown
Airspace Link,Seed Round - Airspace Link,"$3,000,050","Dec 18, 2019","Detroit, Michigan, United States, North America","Aerospace, Drone Management, Geospatial, Government, Mapping Services",Airspace Link is an FAA approved UAS/Drone Low Altitude Authorization and Notification Capability (LAANC) Platform,Seed
AireXpert,Seed Round - AireXpert,"$3,000,000","Nov 14, 2023","Buffalo, New York, United States, North America","Aerospace, Air Transportation, Software",AireXpert is a collaboration & decision support SaaS platform built for technical stakeholders across aerospace & aviation supply chains,Seed
Malones CNC Machining Inc.,Venture Round - Malones CNC Machining Inc.,"$3,000,000","Feb 6, 2024","Grove, Oklahoma, United States, North America","Aerospace, Machinery Manufacturing, Manufacturing, Military",Malone's CNC Machining Inc. is a manufacturer of military aircraft parts and assemblies.,Venture - Series Unknown
